size,type,algorithm,time_us,memory_kb,cpu_percent
100,int,quick_recursive,5,0,0.0
100,int,quick_iterative,6,0,107.7
100,int,merge_parallel,8,0,92.3
100,double,quick_recursive,6,0,102.7
100,double,quick_iterative,6,0,90.9
100,double,merge_parallel,8,0,109.1
1000,int,quick_recursive,54,0,100.0
1000,int,quick_iterative,56,0,100.0
1000,int,merge_parallel,1839,0,169.8
1000,double,quick_recursive,71,0,56.5
1000,double,quick_iterative,75,0,72.6
1000,double,merge_parallel,80,0,138.2
5000,int,quick_recursive,317,0,416.3
5000,int,quick_iterative,327,0,92.1
5000,int,merge_parallel,281,0,95.7
5000,double,quick_recursive,485,0,564.8
5000,double,quick_iterative,668,0,121.2
5000,double,merge_parallel,387,128,756.6
10000,int,quick_recursive,680,0,241.8
10000,int,quick_iterative,781,0,503.5
10000,int,merge_parallel,777,0,284.8
10000,double,quick_recursive,1167,0,242.7
10000,double,quick_iterative,1021,0,335.7
10000,double,merge_parallel,814,128,426.0
50000,int,quick_recursive,3987,0,400.4
50000,int,quick_iterative,5845,0,333.3
50000,int,merge_parallel,3657,360,298.0
50000,double,quick_recursive,6069,0,349.4
50000,double,quick_iterative,5610,0,201.1
50000,double,merge_parallel,6023,896,344.4
100000,int,quick_recursive,8817,0,314.8
100000,int,quick_iterative,10193,128,100.7
100000,int,merge_parallel,6999,384,364.5
100000,double,quick_recursive,12488,0,228.4
100000,double,quick_iterative,12750,0,92.6
100000,double,merge_parallel,9483,1144,372.5
